=== PART 1: Real-basis gate parameters ===
model,iteration,min_xB,b_norm,cond2_exact,cond1_est,raw_tol_exact,raw_tol_est,eff_tol_exact,eff_tol_est
pilot4_plain,0,-1.043610e-15,2.657635e+04,1.250690e+05,1.267996e+06,3.690246e-05,3.741306e-04,3.690246e-05,3.741306e-04
pilot4_plain,1500,-3.939774e-14,2.657635e+04,1.353645e+05,2.306007e+06,3.994019e-05,6.804030e-04,3.994019e-05,6.804030e-04
pilot4_plain,2250,-6.328271e-15,2.657635e+04,1.355477e+05,2.231484e+06,3.999428e-05,6.584143e-04,3.999428e-05,6.584143e-04
pilot4_plain,3000,-8.992806e-15,2.657635e+04,1.256891e+05,1.666516e+06,3.708542e-05,4.917169e-04,3.708542e-05,4.917169e-04
pilot4_plain,750,-1.117413e-15,2.657635e+04,1.353059e+05,1.457220e+06,3.992292e-05,4.299627e-04,3.992292e-05,4.299627e-04
pilot87,0,0.000000e+00,1.647461e+04,2.830995e+04,1.053322e+07,5.178030e-06,1.926577e-03,5.178030e-06,1.926577e-03
pilot87,12500,-0.000000e+00,1.647461e+04,1.132704e+05,3.244151e+07,2.071771e-05,5.933712e-03,2.071771e-05,5.933712e-03
pilot87,18750,0.000000e+00,1.647461e+04,2.375923e+05,4.677594e+07,4.345681e-05,8.555552e-03,4.345681e-05,8.555552e-03
pilot87,25000,-0.000000e+00,1.647461e+04,7.164824e+04,2.752746e+07,1.310482e-05,5.034909e-03,1.310482e-05,5.034909e-03
pilot87,6250,0.000000e+00,1.647461e+04,2.059959e+04,7.432135e+06,3.767766e-06,1.359374e-03,3.767766e-06,1.359374e-03

=== PART 2: Gate-threshold sweep ===
model,iteration,test_point,min_xB,decision_exact,decision_est,match,conservativeness
pilot87,12500,0,0.000000e+00,no_action,no_action,True,SAME
pilot87,12500,-tol,-1.000000e-07,no_action,no_action,True,SAME
pilot87,12500,-1.1*tol,-1.100000e-07,soft_clamp,soft_clamp,True,SAME
pilot87,12500,-0.1*ee,-2.071771e-06,soft_clamp,soft_clamp,True,SAME
pilot87,12500,-ee,-2.071771e-05,soft_clamp,soft_clamp,True,SAME
pilot87,12500,-1.1*ee,-2.278948e-05,repair,soft_clamp,False,LESS_conservative
pilot87,12500,-10*ee,-2.071771e-04,repair,soft_clamp,False,LESS_conservative
pilot87,12500,-0.1*es,-5.933712e-04,repair,soft_clamp,False,LESS_conservative
pilot87,12500,-es,-5.933712e-03,repair,soft_clamp,False,LESS_conservative
pilot87,12500,-1.1*es,-6.527083e-03,repair,repair,True,SAME
pilot87,12500,-10*es,-5.933712e-02,repair,repair,True,SAME
pilot87,18750,0,0.000000e+00,no_action,no_action,True,SAME
pilot87,18750,-tol,-1.000000e-07,no_action,no_action,True,SAME
pilot87,18750,-1.1*tol,-1.100000e-07,soft_clamp,soft_clamp,True,SAME
pilot87,18750,-0.1*ee,-4.345681e-06,soft_clamp,soft_clamp,True,SAME
pilot87,18750,-ee,-4.345681e-05,soft_clamp,soft_clamp,True,SAME
pilot87,18750,-1.1*ee,-4.780249e-05,repair,soft_clamp,False,LESS_conservative
pilot87,18750,-10*ee,-4.345681e-04,repair,soft_clamp,False,LESS_conservative
pilot87,18750,-0.1*es,-8.555552e-04,repair,soft_clamp,False,LESS_conservative
pilot87,18750,-es,-8.555552e-03,repair,soft_clamp,False,LESS_conservative
pilot87,18750,-1.1*es,-9.411107e-03,repair,repair,True,SAME
pilot87,18750,-10*es,-8.555552e-02,repair,repair,True,SAME
pilot87,25000,0,0.000000e+00,no_action,no_action,True,SAME
pilot87,25000,-tol,-1.000000e-07,no_action,no_action,True,SAME
pilot87,25000,-1.1*tol,-1.100000e-07,soft_clamp,soft_clamp,True,SAME
pilot87,25000,-0.1*ee,-1.310482e-06,soft_clamp,soft_clamp,True,SAME
pilot87,25000,-ee,-1.310482e-05,soft_clamp,soft_clamp,True,SAME
pilot87,25000,-1.1*ee,-1.441530e-05,repair,soft_clamp,False,LESS_conservative
pilot87,25000,-10*ee,-1.310482e-04,repair,soft_clamp,False,LESS_conservative
pilot87,25000,-0.1*es,-5.034909e-04,repair,soft_clamp,False,LESS_conservative
pilot87,25000,-es,-5.034909e-03,repair,soft_clamp,False,LESS_conservative
pilot87,25000,-1.1*es,-5.538400e-03,repair,repair,True,SAME
pilot87,25000,-10*es,-5.034909e-02,repair,repair,True,SAME
pilot87,6250,0,0.000000e+00,no_action,no_action,True,SAME
pilot87,6250,-tol,-1.000000e-07,no_action,no_action,True,SAME
pilot87,6250,-1.1*tol,-1.100000e-07,soft_clamp,soft_clamp,True,SAME
pilot87,6250,-0.1*ee,-3.767766e-07,soft_clamp,soft_clamp,True,SAME
pilot87,6250,-ee,-3.767766e-06,soft_clamp,soft_clamp,True,SAME
pilot87,6250,-1.1*ee,-4.144543e-06,repair,soft_clamp,False,LESS_conservative
pilot87,6250,-10*ee,-3.767766e-05,repair,soft_clamp,False,LESS_conservative
pilot87,6250,-0.1*es,-1.359374e-04,repair,soft_clamp,False,LESS_conservative
pilot87,6250,-es,-1.359374e-03,repair,soft_clamp,False,LESS_conservative
pilot87,6250,-1.1*es,-1.495312e-03,repair,repair,True,SAME
pilot87,6250,-10*es,-1.359374e-02,repair,repair,True,SAME

=== PART 3: Adversarial b_norm scaling ===
model,iteration,scale,b_norm,eff_tol_exact,eff_tol_est,ratio_eff_tol,probe,probe_xB,decision_exact,decision_est,match,conservativeness
pilot4_plain,0,1,2.657635e+04,3.690246e-05,3.741306e-04,0.098635,mid,-1.845123e-05,soft_clamp,soft_clamp,True,SAME
pilot4_plain,0,1,2.657635e+04,3.690246e-05,3.741306e-04,0.098635,boundary,-3.690246e-05,soft_clamp,soft_clamp,True,SAME
pilot4_plain,0,1000.0,2.657635e+07,3.690246e-02,3.741306e-01,0.098635,mid,-1.845123e-02,soft_clamp,soft_clamp,True,SAME
pilot4_plain,0,1000.0,2.657635e+07,3.690246e-02,3.741306e-01,0.098635,boundary,-3.690246e-02,soft_clamp,soft_clamp,True,SAME
pilot4_plain,0,1000000.0,2.657635e+10,3.690246e+01,3.741306e+02,0.098635,mid,-1.845123e+01,soft_clamp,soft_clamp,True,SAME
pilot4_plain,0,1000000.0,2.657635e+10,3.690246e+01,3.741306e+02,0.098635,boundary,-3.690246e+01,soft_clamp,soft_clamp,True,SAME
pilot4_plain,0,1000000000.0,2.657635e+13,3.690246e+04,3.741306e+05,0.098635,mid,-1.845123e+04,soft_clamp,soft_clamp,True,SAME
pilot4_plain,0,1000000000.0,2.657635e+13,3.690246e+04,3.741306e+05,0.098635,boundary,-3.690246e+04,soft_clamp,soft_clamp,True,SAME
pilot4_plain,0,1000000000000.0,2.657635e+16,3.690246e+07,3.741306e+08,0.098635,mid,-1.845123e+07,soft_clamp,soft_clamp,True,SAME
pilot4_plain,0,1000000000000.0,2.657635e+16,3.690246e+07,3.741306e+08,0.098635,boundary,-3.690246e+07,soft_clamp,soft_clamp,True,SAME
pilot4_plain,1500,1,2.657635e+04,3.994019e-05,6.804030e-04,0.058701,mid,-1.997010e-05,soft_clamp,soft_clamp,True,SAME
pilot4_plain,1500,1,2.657635e+04,3.994019e-05,6.804030e-04,0.058701,boundary,-3.994019e-05,soft_clamp,soft_clamp,True,SAME
pilot4_plain,1500,1000.0,2.657635e+07,3.994019e-02,6.804030e-01,0.058701,mid,-1.997010e-02,soft_clamp,soft_clamp,True,SAME
pilot4_plain,1500,1000.0,2.657635e+07,3.994019e-02,6.804030e-01,0.058701,boundary,-3.994019e-02,soft_clamp,soft_clamp,True,SAME
pilot4_plain,1500,1000000.0,2.657635e+10,3.994019e+01,6.804030e+02,0.058701,mid,-1.997010e+01,soft_clamp,soft_clamp,True,SAME
pilot4_plain,1500,1000000.0,2.657635e+10,3.994019e+01,6.804030e+02,0.058701,boundary,-3.994019e+01,soft_clamp,soft_clamp,True,SAME
pilot4_plain,1500,1000000000.0,2.657635e+13,3.994019e+04,6.804030e+05,0.058701,mid,-1.997010e+04,soft_clamp,soft_clamp,True,SAME
pilot4_plain,1500,1000000000.0,2.657635e+13,3.994019e+04,6.804030e+05,0.058701,boundary,-3.994019e+04,soft_clamp,soft_clamp,True,SAME
pilot4_plain,1500,1000000000000.0,2.657635e+16,3.994019e+07,6.804030e+08,0.058701,mid,-1.997010e+07,soft_clamp,soft_clamp,True,SAME
pilot4_plain,1500,1000000000000.0,2.657635e+16,3.994019e+07,6.804030e+08,0.058701,boundary,-3.994019e+07,soft_clamp,soft_clamp,True,SAME
pilot4_plain,2250,1,2.657635e+04,3.999428e-05,6.584143e-04,0.060743,mid,-1.999714e-05,soft_clamp,soft_clamp,True,SAME
pilot4_plain,2250,1,2.657635e+04,3.999428e-05,6.584143e-04,0.060743,boundary,-3.999428e-05,soft_clamp,soft_clamp,True,SAME
pilot4_plain,2250,1000.0,2.657635e+07,3.999428e-02,6.584143e-01,0.060743,mid,-1.999714e-02,soft_clamp,soft_clamp,True,SAME
pilot4_plain,2250,1000.0,2.657635e+07,3.999428e-02,6.584143e-01,0.060743,boundary,-3.999428e-02,soft_clamp,soft_clamp,True,SAME
pilot4_plain,2250,1000000.0,2.657635e+10,3.999428e+01,6.584143e+02,0.060743,mid,-1.999714e+01,soft_clamp,soft_clamp,True,SAME
pilot4_plain,2250,1000000.0,2.657635e+10,3.999428e+01,6.584143e+02,0.060743,boundary,-3.999428e+01,soft_clamp,soft_clamp,True,SAME
pilot4_plain,2250,1000000000.0,2.657635e+13,3.999428e+04,6.584143e+05,0.060743,mid,-1.999714e+04,soft_clamp,soft_clamp,True,SAME
pilot4_plain,2250,1000000000.0,2.657635e+13,3.999428e+04,6.584143e+05,0.060743,boundary,-3.999428e+04,soft_clamp,soft_clamp,True,SAME
pilot4_plain,2250,1000000000000.0,2.657635e+16,3.999428e+07,6.584143e+08,0.060743,mid,-1.999714e+07,soft_clamp,soft_clamp,True,SAME
pilot4_plain,2250,1000000000000.0,2.657635e+16,3.999428e+07,6.584143e+08,0.060743,boundary,-3.999428e+07,soft_clamp,soft_clamp,True,SAME
pilot4_plain,3000,1,2.657635e+04,3.708542e-05,4.917169e-04,0.075420,mid,-1.854271e-05,soft_clamp,soft_clamp,True,SAME
pilot4_plain,3000,1,2.657635e+04,3.708542e-05,4.917169e-04,0.075420,boundary,-3.708542e-05,soft_clamp,soft_clamp,True,SAME
pilot4_plain,3000,1000.0,2.657635e+07,3.708542e-02,4.917169e-01,0.075420,mid,-1.854271e-02,soft_clamp,soft_clamp,True,SAME
pilot4_plain,3000,1000.0,2.657635e+07,3.708542e-02,4.917169e-01,0.075420,boundary,-3.708542e-02,soft_clamp,soft_clamp,True,SAME
pilot4_plain,3000,1000000.0,2.657635e+10,3.708542e+01,4.917169e+02,0.075420,mid,-1.854271e+01,soft_clamp,soft_clamp,True,SAME
pilot4_plain,3000,1000000.0,2.657635e+10,3.708542e+01,4.917169e+02,0.075420,boundary,-3.708542e+01,soft_clamp,soft_clamp,True,SAME
pilot4_plain,3000,1000000000.0,2.657635e+13,3.708542e+04,4.917169e+05,0.075420,mid,-1.854271e+04,soft_clamp,soft_clamp,True,SAME
pilot4_plain,3000,1000000000.0,2.657635e+13,3.708542e+04,4.917169e+05,0.075420,boundary,-3.708542e+04,soft_clamp,soft_clamp,True,SAME
pilot4_plain,3000,1000000000000.0,2.657635e+16,3.708542e+07,4.917169e+08,0.075420,mid,-1.854271e+07,soft_clamp,soft_clamp,True,SAME
pilot4_plain,3000,1000000000000.0,2.657635e+16,3.708542e+07,4.917169e+08,0.075420,boundary,-3.708542e+07,soft_clamp,soft_clamp,True,SAME
pilot4_plain,750,1,2.657635e+04,3.992292e-05,4.299627e-04,0.092852,mid,-1.996146e-05,soft_clamp,soft_clamp,True,SAME
pilot4_plain,750,1,2.657635e+04,3.992292e-05,4.299627e-04,0.092852,boundary,-3.992292e-05,soft_clamp,soft_clamp,True,SAME
pilot4_plain,750,1000.0,2.657635e+07,3.992292e-02,4.299627e-01,0.092852,mid,-1.996146e-02,soft_clamp,soft_clamp,True,SAME
pilot4_plain,750,1000.0,2.657635e+07,3.992292e-02,4.299627e-01,0.092852,boundary,-3.992292e-02,soft_clamp,soft_clamp,True,SAME
pilot4_plain,750,1000000.0,2.657635e+10,3.992292e+01,4.299627e+02,0.092852,mid,-1.996146e+01,soft_clamp,soft_clamp,True,SAME
pilot4_plain,750,1000000.0,2.657635e+10,3.992292e+01,4.299627e+02,0.092852,boundary,-3.992292e+01,soft_clamp,soft_clamp,True,SAME
pilot4_plain,750,1000000000.0,2.657635e+13,3.992292e+04,4.299627e+05,0.092852,mid,-1.996146e+04,soft_clamp,soft_clamp,True,SAME
pilot4_plain,750,1000000000.0,2.657635e+13,3.992292e+04,4.299627e+05,0.092852,boundary,-3.992292e+04,soft_clamp,soft_clamp,True,SAME
pilot4_plain,750,1000000000000.0,2.657635e+16,3.992292e+07,4.299627e+08,0.092852,mid,-1.996146e+07,soft_clamp,soft_clamp,True,SAME
pilot4_plain,750,1000000000000.0,2.657635e+16,3.992292e+07,4.299627e+08,0.092852,boundary,-3.992292e+07,soft_clamp,soft_clamp,True,SAME
pilot87,0,1,1.647461e+04,5.178030e-06,1.926577e-03,0.002688,mid,-2.589015e-06,soft_clamp,soft_clamp,True,SAME
pilot87,0,1,1.647461e+04,5.178030e-06,1.926577e-03,0.002688,boundary,-5.178030e-06,soft_clamp,soft_clamp,True,SAME
pilot87,0,1000.0,1.647461e+07,5.178030e-03,1.926577e+00,0.002688,mid,-2.589015e-03,soft_clamp,soft_clamp,True,SAME
pilot87,0,1000.0,1.647461e+07,5.178030e-03,1.926577e+00,0.002688,boundary,-5.178030e-03,soft_clamp,soft_clamp,True,SAME
pilot87,0,1000000.0,1.647461e+10,5.178030e+00,1.926577e+03,0.002688,mid,-2.589015e+00,soft_clamp,soft_clamp,True,SAME
pilot87,0,1000000.0,1.647461e+10,5.178030e+00,1.926577e+03,0.002688,boundary,-5.178030e+00,soft_clamp,soft_clamp,True,SAME
pilot87,0,1000000000.0,1.647461e+13,5.178030e+03,1.926577e+06,0.002688,mid,-2.589015e+03,soft_clamp,soft_clamp,True,SAME
pilot87,0,1000000000.0,1.647461e+13,5.178030e+03,1.926577e+06,0.002688,boundary,-5.178030e+03,soft_clamp,soft_clamp,True,SAME
pilot87,0,1000000000000.0,1.647461e+16,5.178030e+06,1.926577e+09,0.002688,mid,-2.589015e+06,soft_clamp,soft_clamp,True,SAME
pilot87,0,1000000000000.0,1.647461e+16,5.178030e+06,1.926577e+09,0.002688,boundary,-5.178030e+06,soft_clamp,soft_clamp,True,SAME
pilot87,12500,1,1.647461e+04,2.071771e-05,5.933712e-03,0.003492,mid,-1.035886e-05,soft_clamp,soft_clamp,True,SAME
pilot87,12500,1,1.647461e+04,2.071771e-05,5.933712e-03,0.003492,boundary,-2.071771e-05,soft_clamp,soft_clamp,True,SAME
pilot87,12500,1000.0,1.647461e+07,2.071771e-02,5.933712e+00,0.003492,mid,-1.035886e-02,soft_clamp,soft_clamp,True,SAME
pilot87,12500,1000.0,1.647461e+07,2.071771e-02,5.933712e+00,0.003492,boundary,-2.071771e-02,soft_clamp,soft_clamp,True,SAME
pilot87,12500,1000000.0,1.647461e+10,2.071771e+01,5.933712e+03,0.003492,mid,-1.035886e+01,soft_clamp,soft_clamp,True,SAME
pilot87,12500,1000000.0,1.647461e+10,2.071771e+01,5.933712e+03,0.003492,boundary,-2.071771e+01,soft_clamp,soft_clamp,True,SAME
pilot87,12500,1000000000.0,1.647461e+13,2.071771e+04,5.933712e+06,0.003492,mid,-1.035886e+04,soft_clamp,soft_clamp,True,SAME
pilot87,12500,1000000000.0,1.647461e+13,2.071771e+04,5.933712e+06,0.003492,boundary,-2.071771e+04,soft_clamp,soft_clamp,True,SAME
pilot87,12500,1000000000000.0,1.647461e+16,2.071771e+07,5.933712e+09,0.003492,mid,-1.035886e+07,soft_clamp,soft_clamp,True,SAME
pilot87,12500,1000000000000.0,1.647461e+16,2.071771e+07,5.933712e+09,0.003492,boundary,-2.071771e+07,soft_clamp,soft_clamp,True,SAME
pilot87,18750,1,1.647461e+04,4.345681e-05,8.555552e-03,0.005079,mid,-2.172840e-05,soft_clamp,soft_clamp,True,SAME
pilot87,18750,1,1.647461e+04,4.345681e-05,8.555552e-03,0.005079,boundary,-4.345681e-05,soft_clamp,soft_clamp,True,SAME
pilot87,18750,1000.0,1.647461e+07,4.345681e-02,8.555552e+00,0.005079,mid,-2.172840e-02,soft_clamp,soft_clamp,True,SAME
pilot87,18750,1000.0,1.647461e+07,4.345681e-02,8.555552e+00,0.005079,boundary,-4.345681e-02,soft_clamp,soft_clamp,True,SAME
pilot87,18750,1000000.0,1.647461e+10,4.345681e+01,8.555552e+03,0.005079,mid,-2.172840e+01,soft_clamp,soft_clamp,True,SAME
pilot87,18750,1000000.0,1.647461e+10,4.345681e+01,8.555552e+03,0.005079,boundary,-4.345681e+01,soft_clamp,soft_clamp,True,SAME
pilot87,18750,1000000000.0,1.647461e+13,4.345681e+04,8.555552e+06,0.005079,mid,-2.172840e+04,soft_clamp,soft_clamp,True,SAME
pilot87,18750,1000000000.0,1.647461e+13,4.345681e+04,8.555552e+06,0.005079,boundary,-4.345681e+04,soft_clamp,soft_clamp,True,SAME
pilot87,18750,1000000000000.0,1.647461e+16,4.345681e+07,8.555552e+09,0.005079,mid,-2.172840e+07,soft_clamp,soft_clamp,True,SAME
pilot87,18750,1000000000000.0,1.647461e+16,4.345681e+07,8.555552e+09,0.005079,boundary,-4.345681e+07,soft_clamp,soft_clamp,True,SAME
pilot87,25000,1,1.647461e+04,1.310482e-05,5.034909e-03,0.002603,mid,-6.552409e-06,soft_clamp,soft_clamp,True,SAME
pilot87,25000,1,1.647461e+04,1.310482e-05,5.034909e-03,0.002603,boundary,-1.310482e-05,soft_clamp,soft_clamp,True,SAME
pilot87,25000,1000.0,1.647461e+07,1.310482e-02,5.034909e+00,0.002603,mid,-6.552409e-03,soft_clamp,soft_clamp,True,SAME
pilot87,25000,1000.0,1.647461e+07,1.310482e-02,5.034909e+00,0.002603,boundary,-1.310482e-02,soft_clamp,soft_clamp,True,SAME
pilot87,25000,1000000.0,1.647461e+10,1.310482e+01,5.034909e+03,0.002603,mid,-6.552409e+00,soft_clamp,soft_clamp,True,SAME
pilot87,25000,1000000.0,1.647461e+10,1.310482e+01,5.034909e+03,0.002603,boundary,-1.310482e+01,soft_clamp,soft_clamp,True,SAME
pilot87,25000,1000000000.0,1.647461e+13,1.310482e+04,5.034909e+06,0.002603,mid,-6.552409e+03,soft_clamp,soft_clamp,True,SAME
pilot87,25000,1000000000.0,1.647461e+13,1.310482e+04,5.034909e+06,0.002603,boundary,-1.310482e+04,soft_clamp,soft_clamp,True,SAME
pilot87,25000,1000000000000.0,1.647461e+16,1.310482e+07,5.034909e+09,0.002603,mid,-6.552409e+06,soft_clamp,soft_clamp,True,SAME
pilot87,25000,1000000000000.0,1.647461e+16,1.310482e+07,5.034909e+09,0.002603,boundary,-1.310482e+07,soft_clamp,soft_clamp,True,SAME
pilot87,6250,1,1.647461e+04,3.767766e-06,1.359374e-03,0.002772,mid,-1.883883e-06,soft_clamp,soft_clamp,True,SAME
pilot87,6250,1,1.647461e+04,3.767766e-06,1.359374e-03,0.002772,boundary,-3.767766e-06,soft_clamp,soft_clamp,True,SAME
pilot87,6250,1000.0,1.647461e+07,3.767766e-03,1.359374e+00,0.002772,mid,-1.883883e-03,soft_clamp,soft_clamp,True,SAME
pilot87,6250,1000.0,1.647461e+07,3.767766e-03,1.359374e+00,0.002772,boundary,-3.767766e-03,soft_clamp,soft_clamp,True,SAME
pilot87,6250,1000000.0,1.647461e+10,3.767766e+00,1.359374e+03,0.002772,mid,-1.883883e+00,soft_clamp,soft_clamp,True,SAME
pilot87,6250,1000000.0,1.647461e+10,3.767766e+00,1.359374e+03,0.002772,boundary,-3.767766e+00,soft_clamp,soft_clamp,True,SAME
pilot87,6250,1000000000.0,1.647461e+13,3.767766e+03,1.359374e+06,0.002772,mid,-1.883883e+03,soft_clamp,soft_clamp,True,SAME
pilot87,6250,1000000000.0,1.647461e+13,3.767766e+03,1.359374e+06,0.002772,boundary,-3.767766e+03,soft_clamp,soft_clamp,True,SAME
pilot87,6250,1000000000000.0,1.647461e+16,3.767766e+06,1.359374e+09,0.002772,mid,-1.883883e+06,soft_clamp,soft_clamp,True,SAME
