    progress: ~50 Phase-II iters, 9s elapsed obj=-178.8027
    progress: ~2850 Phase-II iters, 670s elapsed obj=-1340.3793
    progress: ~2900 Phase-II iters, 679s elapsed obj=-1351.8120
    progress: ~2950 Phase-II iters, 688s elapsed obj=-1353.4615
    progress: ~3000 Phase-II iters, 698s elapsed obj=-1354.5436
    progress: ~3050 Phase-II iters, 707s elapsed obj=-1354.7645
    progress: ~3100 Phase-II iters, 716s elapsed obj=-1355.4025
    progress: ~3150 Phase-II iters, 725s elapsed obj=-1355.5255
    progress: ~3200 Phase-II iters, 734s elapsed obj=-1355.7300
    progress: ~3250 Phase-II iters, 743s elapsed obj=-1361.5417
    progress: ~3300 Phase-II iters, 751s elapsed obj=-1383.9504
    progress: ~3350 Phase-II iters, 760s elapsed obj=-1426.4290
    progress: ~3400 Phase-II iters, 769s elapsed obj=-1447.3202
    progress: ~3450 Phase-II iters, 778s elapsed obj=-1482.5743
    progress: ~3500 Phase-II iters, 787s elapsed obj=-1483.9697
    progress: ~3550 Phase-II iters, 796s elapsed obj=-1492.9623
    progress: ~3600 Phase-II iters, 805s elapsed obj=-1500.8670
    progress: ~3650 Phase-II iters, 814s elapsed obj=-1502.4827
    progress: ~3700 Phase-II iters, 823s elapsed obj=-1505.7182
    progress: ~3750 Phase-II iters, 832s elapsed obj=-1532.1173
    progress: ~3800 Phase-II iters, 841s elapsed obj=-1541.7537
    progress: ~3850 Phase-II iters, 850s elapsed obj=-1559.6183
    progress: ~3900 Phase-II iters, 859s elapsed obj=-1567.3634
    progress: ~3950 Phase-II iters, 867s elapsed obj=-1570.4809
    progress: ~4000 Phase-II iters, 876s elapsed obj=-1576.8064
    progress: ~4050 Phase-II iters, 885s elapsed obj=-1582.4813
    progress: ~4100 Phase-II iters, 894s elapsed obj=-1587.6682
    progress: ~4150 Phase-II iters, 903s elapsed obj=-1590.7863
    progress: ~4200 Phase-II iters, 912s elapsed obj=-1593.2902
    progress: ~4250 Phase-II iters, 921s elapsed obj=-1594.7785
    progress: ~4300 Phase-II iters, 930s elapsed obj=-1596.4455
    progress: ~4350 Phase-II iters, 940s elapsed obj=-1597.2524
    progress: ~4400 Phase-II iters, 949s elapsed obj=-1598.3889
    progress: ~4450 Phase-II iters, 958s elapsed obj=-1599.4330
    progress: ~4500 Phase-II iters, 967s elapsed obj=-1600.0710
    progress: ~4550 Phase-II iters, 976s elapsed obj=-1613.7305
    progress: ~4600 Phase-II iters, 985s elapsed obj=-1621.7790
    progress: ~4650 Phase-II iters, 994s elapsed obj=-1626.2948
    progress: ~4700 Phase-II iters, 1003s elapsed obj=-1654.2680
    progress: ~4750 Phase-II iters, 1012s elapsed obj=-1656.5325
    progress: ~4800 Phase-II iters, 1021s elapsed obj=-1822.1509
    progress: ~4850 Phase-II iters, 1030s elapsed obj=-1848.9980
    progress: ~4900 Phase-II iters, 1038s elapsed obj=-1860.7662
    progress: ~4950 Phase-II iters, 1047s elapsed obj=-1873.2600
    progress: ~5000 Phase-II iters, 1056s elapsed obj=-1889.8674
    progress: ~5050 Phase-II iters, 1065s elapsed obj=-1899.9797
    progress: ~5100 Phase-II iters, 1074s elapsed obj=-1908.2891
    progress: ~5150 Phase-II iters, 1083s elapsed obj=-1921.8659
    progress: ~5200 Phase-II iters, 1092s elapsed obj=-1927.9816
    progress: ~5250 Phase-II iters, 1101s elapsed obj=-1939.0698
    progress: ~5300 Phase-II iters, 1110s elapsed obj=-1940.3788
    progress: ~5350 Phase-II iters, 1119s elapsed obj=-1943.7152
    progress: ~5400 Phase-II iters, 1128s elapsed obj=-1945.5790
    progress: ~5450 Phase-II iters, 1137s elapsed obj=-1972.7100
    progress: ~5500 Phase-II iters, 1146s elapsed obj=-1985.3399
    progress: ~5550 Phase-II iters, 1155s elapsed obj=-2015.5576
    progress: ~5600 Phase-II iters, 1164s elapsed obj=-2079.6200
    progress: ~5650 Phase-II iters, 1173s elapsed obj=-2084.0120
    progress: ~5700 Phase-II iters, 1182s elapsed obj=-2089.3929
    progress: ~5750 Phase-II iters, 1191s elapsed obj=-2095.1697
    progress: ~5800 Phase-II iters, 1200s elapsed obj=-2100.0231
    progress: ~5850 Phase-II iters, 1209s elapsed obj=-2102.8131
    progress: ~5900 Phase-II iters, 1218s elapsed obj=-2105.5628
    progress: ~5950 Phase-II iters, 1227s elapsed obj=-2110.1206
    progress: ~6000 Phase-II iters, 1236s elapsed obj=-2111.4464
    progress: ~6050 Phase-II iters, 1245s elapsed obj=-2113.3305
    progress: ~6100 Phase-II iters, 1254s elapsed obj=-2114.6049
    progress: ~6150 Phase-II iters, 1263s elapsed obj=-2116.7524
    progress: ~6200 Phase-II iters, 1272s elapsed obj=-2118.1535
    progress: ~6250 Phase-II iters, 1280s elapsed obj=-2123.9817
    progress: ~6300 Phase-II iters, 1289s elapsed obj=-2126.6269
    progress: ~6350 Phase-II iters, 1298s elapsed obj=-2132.4079
    progress: ~6400 Phase-II iters, 1307s elapsed obj=-2135.5729
    progress: ~6450 Phase-II iters, 1316s elapsed obj=-2137.1774
    progress: ~6500 Phase-II iters, 1325s elapsed obj=-2161.8575
    progress: ~6550 Phase-II iters, 1334s elapsed obj=-2177.4771
    progress: ~6600 Phase-II iters, 1343s elapsed obj=-2203.6471
    progress: ~6650 Phase-II iters, 1352s elapsed obj=-2210.7038
    progress: ~6700 Phase-II iters, 1361s elapsed obj=-2235.8451
    progress: ~6750 Phase-II iters, 1370s elapsed obj=-2238.7120
    progress: ~6800 Phase-II iters, 1379s elapsed obj=-2249.0786
    progress: ~6850 Phase-II iters, 1388s elapsed obj=-2278.2494
    progress: ~6900 Phase-II iters, 1397s elapsed obj=-2278.6043
[run1] round 2: Phase II stopped at pivot 6928 (current basis is not primal feasible); last_obj=-2355.987693 failed-basis min_xB=-3.103e-04 cond2=1.165e+06
[run1] round 2: vertex cleanup swaps=0 cond2=1.165e+06 min_xB(gesv)=-3.103e-04
[run1] round 2: re-repair pivots=1 feas=True min_xB=0.000e+00
    progress: ~50 Phase-II iters, 1412s elapsed obj=-2374.9917
    progress: ~100 Phase-II iters, 1421s elapsed obj=-2401.6539
    progress: ~150 Phase-II iters, 1430s elapsed obj=-2403.7094
    progress: ~200 Phase-II iters, 1438s elapsed obj=-2419.4614
    progress: ~250 Phase-II iters, 1447s elapsed obj=-2433.3155
    progress: ~300 Phase-II iters, 1456s elapsed obj=-2441.4431
    progress: ~350 Phase-II iters, 1465s elapsed obj=-2442.1076
    progress: ~400 Phase-II iters, 1474s elapsed obj=-2442.5037
    progress: ~450 Phase-II iters, 1483s elapsed obj=-2444.1702
    progress: ~500 Phase-II iters, 1492s elapsed obj=-2450.4522
    progress: ~550 Phase-II iters, 1501s elapsed obj=-2457.8232
    progress: ~600 Phase-II iters, 1510s elapsed obj=-2466.0761
    progress: ~650 Phase-II iters, 1519s elapsed obj=-2468.3269
    progress: ~700 Phase-II iters, 1528s elapsed obj=-2472.9901
    progress: ~750 Phase-II iters, 1537s elapsed obj=-2473.6661
    progress: ~800 Phase-II iters, 1547s elapsed obj=-2475.6855
    progress: ~850 Phase-II iters, 1556s elapsed obj=-2479.7673
    progress: ~900 Phase-II iters, 1565s elapsed obj=-2481.9748
    progress: ~950 Phase-II iters, 1574s elapsed obj=-2483.3001
    progress: ~1000 Phase-II iters, 1583s elapsed obj=-2484.8577
    progress: ~1050 Phase-II iters, 1592s elapsed obj=-2486.3592
    progress: ~1100 Phase-II iters, 1601s elapsed obj=-2487.9238
    progress: ~1150 Phase-II iters, 1610s elapsed obj=-2488.6830
[run1] round 3: Phase II stopped at pivot 1169 (current basis is not primal feasible); last_obj=-2489.524332 failed-basis min_xB=-1.204e-05 cond2=3.723e+06
[run1] round 3: vertex cleanup swaps=0 cond2=3.723e+06 min_xB(gesv)=-1.204e-05
[run1] round 3: re-repair pivots=1 feas=True min_xB=-3.553e-15
    progress: ~50 Phase-II iters, 1623s elapsed obj=-2491.5172
    progress: ~100 Phase-II iters, 1632s elapsed obj=-2492.1508
    progress: ~150 Phase-II iters, 1641s elapsed obj=-2493.1695
    progress: ~200 Phase-II iters, 1650s elapsed obj=-2494.4750
    progress: ~250 Phase-II iters, 1659s elapsed obj=-2499.6182
[run1] round 4: Phase II stopped at pivot 297 (current basis is not primal feasible); last_obj=-2501.254736 failed-basis min_xB=-7.401e-04 cond2=1.499e+06
[run1] round 4: vertex cleanup swaps=0 cond2=1.499e+06 min_xB(gesv)=-7.401e-04
[run1] round 4: re-repair pivots=1 feas=True min_xB=-1.776e-15
    progress: ~50 Phase-II iters, 1677s elapsed obj=-2503.9834
    progress: ~100 Phase-II iters, 1686s elapsed obj=-2506.4770
    progress: ~150 Phase-II iters, 1695s elapsed obj=-2523.7254
    progress: ~200 Phase-II iters, 1704s elapsed obj=-2530.5702
    progress: ~250 Phase-II iters, 1713s elapsed obj=-2532.7726
    progress: ~300 Phase-II iters, 1722s elapsed obj=-2537.4891
    progress: ~350 Phase-II iters, 1731s elapsed obj=-2541.3779
    progress: ~400 Phase-II iters, 1740s elapsed obj=-2543.8289
    progress: ~450 Phase-II iters, 1749s elapsed obj=-2545.9084
    progress: ~500 Phase-II iters, 1758s elapsed obj=-2548.6120
    progress: ~550 Phase-II iters, 1766s elapsed obj=-2552.0080
    progress: ~600 Phase-II iters, 1775s elapsed obj=-2554.6970
[run1] round 5: Phase II stopped at pivot 614 (current basis is not primal feasible); last_obj=-2554.927418 failed-basis min_xB=-1.052e-04 cond2=3.164e+06
[run1] round 5: vertex cleanup swaps=0 cond2=3.164e+06 min_xB(gesv)=-1.052e-04
[run1] round 5: re-repair pivots=1 feas=True min_xB=-1.900e-14
    progress: ~50 Phase-II iters, 1788s elapsed obj=-2557.9355
    progress: ~100 Phase-II iters, 1797s elapsed obj=-2563.6228
[run1] round 6: Phase II stopped at pivot 117 (current basis is not primal feasible); last_obj=-2563.861658 failed-basis min_xB=-6.487e-05 cond2=1.283e+08
[run1] round 6: vertex cleanup swaps=0 cond2=1.283e+08 min_xB(gesv)=-6.487e-05
[run1] round 6: re-repair pivots=1 feas=True min_xB=-3.588e-13
[run1] round 7: Phase II stopped at pivot 18 (current basis is not primal feasible); last_obj=-2564.562051 failed-basis min_xB=-9.403e-05 cond2=6.140e+07
[run1] round 7: vertex cleanup swaps=0 cond2=6.140e+07 min_xB(gesv)=-9.403e-05
[run1] round 7: re-repair pivots=1 feas=True min_xB=-2.665e-13
    progress: ~50 Phase-II iters, 1814s elapsed obj=-2566.9481
    progress: ~100 Phase-II iters, 1823s elapsed obj=-2568.9221
    progress: ~150 Phase-II iters, 1832s elapsed obj=-2569.7795
    progress: ~200 Phase-II iters, 1842s elapsed obj=-2570.7223
    progress: ~250 Phase-II iters, 1851s elapsed obj=-2571.4485
    progress: ~300 Phase-II iters, 1860s elapsed obj=-2571.5984
    progress: ~350 Phase-II iters, 1869s elapsed obj=-2575.0336
    progress: ~400 Phase-II iters, 1878s elapsed obj=-2576.9994
    progress: ~450 Phase-II iters, 1886s elapsed obj=-2578.1841
    progress: ~500 Phase-II iters, 1895s elapsed obj=-2578.9841
    progress: ~550 Phase-II iters, 1904s elapsed obj=-2580.1834
    progress: ~600 Phase-II iters, 1913s elapsed obj=-2580.6756
    progress: ~650 Phase-II iters, 1922s elapsed obj=-2581.0431
[run1] certification: OPTIMAL at tol=1e-08 (extra pivots=0, rounds=1)
[run1] RRQR cond2=9.423e+01 (0.1s)
[run1] repair pivots=1279 min_xB=0.000e+00 resid=1.43e-13 cond2=1.246e+05 (8.5s)
[run1] Phase II pivots=10589 (1924.9s) status=optimal (certified: simplex optimum reached)
[run1] VERIFY basis_resid=1.04e-10 rel_primal=4.148e-14 min_reduced=-1.138e-14 rel_dual=-1.116e-14 rel_gap=1.762e-15
[run1] OBJECTIVE=-2581.139259  (dual bound -2581.139259)
    progress: ~50 Phase-II iters, 9s elapsed obj=-178.8027
    progress: ~100 Phase-II iters, 18s elapsed obj=-232.6797
    progress: ~150 Phase-II iters, 28s elapsed obj=-235.6410
    progress: ~200 Phase-II iters, 37s elapsed obj=-240.3647
    progress: ~250 Phase-II iters, 46s elapsed obj=-241.9157
    progress: ~300 Phase-II iters, 55s elapsed obj=-242.0442
    progress: ~350 Phase-II iters, 64s elapsed obj=-242.0923
    progress: ~400 Phase-II iters, 73s elapsed obj=-242.1242
    progress: ~450 Phase-II iters, 82s elapsed obj=-244.1562
    progress: ~500 Phase-II iters, 91s elapsed obj=-246.2504
    progress: ~550 Phase-II iters, 101s elapsed obj=-248.4297
    progress: ~600 Phase-II iters, 110s elapsed obj=-249.2837
    progress: ~650 Phase-II iters, 119s elapsed obj=-249.5107
    progress: ~700 Phase-II iters, 128s elapsed obj=-249.6813
    progress: ~750 Phase-II iters, 137s elapsed obj=-249.7107
[run2] round 1: Phase II stopped at pivot 781 (current basis is not primal feasible); last_obj=-249.733263 failed-basis min_xB=-1.059e-06 cond2=1.361e+05
[run2] round 1: vertex cleanup swaps=0 cond2=1.361e+05 min_xB(gesv)=-1.059e-06
[run2] round 1: re-repair pivots=1 feas=True min_xB=-4.441e-16
    progress: ~50 Phase-II iters, 153s elapsed obj=-250.2025
    progress: ~100 Phase-II iters, 162s elapsed obj=-250.6474
    progress: ~150 Phase-II iters, 171s elapsed obj=-267.6996
    progress: ~200 Phase-II iters, 180s elapsed obj=-276.2641
    progress: ~250 Phase-II iters, 189s elapsed obj=-278.8860
    progress: ~300 Phase-II iters, 198s elapsed obj=-283.5195
    progress: ~350 Phase-II iters, 209s elapsed obj=-283.8003
    progress: ~400 Phase-II iters, 220s elapsed obj=-284.7622
    progress: ~450 Phase-II iters, 230s elapsed obj=-314.3503
    progress: ~500 Phase-II iters, 239s elapsed obj=-326.1980
    progress: ~550 Phase-II iters, 248s elapsed obj=-336.5215
    progress: ~600 Phase-II iters, 257s elapsed obj=-336.6197
    progress: ~650 Phase-II iters, 266s elapsed obj=-336.7545
    progress: ~700 Phase-II iters, 275s elapsed obj=-337.5511
    progress: ~750 Phase-II iters, 285s elapsed obj=-370.4445
    progress: ~800 Phase-II iters, 294s elapsed obj=-371.8363
    progress: ~850 Phase-II iters, 303s elapsed obj=-373.6556
    progress: ~900 Phase-II iters, 312s elapsed obj=-374.2427
    progress: ~950 Phase-II iters, 322s elapsed obj=-477.5681
    progress: ~1000 Phase-II iters, 330s elapsed obj=-516.1976
    progress: ~1050 Phase-II iters, 339s elapsed obj=-530.3792
    progress: ~1100 Phase-II iters, 348s elapsed obj=-543.3378
    progress: ~1150 Phase-II iters, 358s elapsed obj=-563.4414
    progress: ~1200 Phase-II iters, 367s elapsed obj=-576.1596
    progress: ~1250 Phase-II iters, 376s elapsed obj=-589.3284
    progress: ~1300 Phase-II iters, 385s elapsed obj=-592.1726
    progress: ~1350 Phase-II iters, 394s elapsed obj=-594.6511
    progress: ~1400 Phase-II iters, 403s elapsed obj=-595.5767
    progress: ~1450 Phase-II iters, 412s elapsed obj=-595.8542
    progress: ~1500 Phase-II iters, 421s elapsed obj=-596.6467
    progress: ~1550 Phase-II iters, 430s elapsed obj=-596.9710
    progress: ~1600 Phase-II iters, 440s elapsed obj=-597.8597
    progress: ~1650 Phase-II iters, 449s elapsed obj=-599.1624
    progress: ~1700 Phase-II iters, 458s elapsed obj=-599.9135
    progress: ~1750 Phase-II iters, 467s elapsed obj=-600.4054
    progress: ~1800 Phase-II iters, 476s elapsed obj=-600.6450
    progress: ~1850 Phase-II iters, 485s elapsed obj=-602.3421
    progress: ~1900 Phase-II iters, 494s elapsed obj=-602.9131
    progress: ~1950 Phase-II iters, 503s elapsed obj=-604.0351
    progress: ~2000 Phase-II iters, 512s elapsed obj=-606.9296
    progress: ~2050 Phase-II iters, 521s elapsed obj=-608.8104
    progress: ~2100 Phase-II iters, 530s elapsed obj=-609.2661
    progress: ~2150 Phase-II iters, 538s elapsed obj=-661.8497
    progress: ~2200 Phase-II iters, 546s elapsed obj=-812.5083
    progress: ~2250 Phase-II iters, 555s elapsed obj=-971.6900
    progress: ~2300 Phase-II iters, 563s elapsed obj=-1102.9287
    progress: ~2350 Phase-II iters, 572s elapsed obj=-1174.2845
    progress: ~2400 Phase-II iters, 580s elapsed obj=-1213.9579
    progress: ~2450 Phase-II iters, 588s elapsed obj=-1227.8136
    progress: ~2500 Phase-II iters, 597s elapsed obj=-1237.8919
    progress: ~2550 Phase-II iters, 605s elapsed obj=-1265.5227
    progress: ~2600 Phase-II iters, 614s elapsed obj=-1270.9173
    progress: ~2650 Phase-II iters, 622s elapsed obj=-1279.8924
    progress: ~2700 Phase-II iters, 631s elapsed obj=-1292.2403
    progress: ~2750 Phase-II iters, 639s elapsed obj=-1298.5744
    progress: ~2800 Phase-II iters, 649s elapsed obj=-1320.8443
    progress: ~2850 Phase-II iters, 660s elapsed obj=-1340.3793
    progress: ~2900 Phase-II iters, 670s elapsed obj=-1351.8120
    progress: ~2950 Phase-II iters, 679s elapsed obj=-1353.4615
    progress: ~3000 Phase-II iters, 689s elapsed obj=-1354.5436
    progress: ~3050 Phase-II iters, 699s elapsed obj=-1354.7645
    progress: ~3100 Phase-II iters, 709s elapsed obj=-1355.4025
    progress: ~3150 Phase-II iters, 718s elapsed obj=-1355.5255
    progress: ~3200 Phase-II iters, 728s elapsed obj=-1355.7300
    progress: ~3250 Phase-II iters, 738s elapsed obj=-1361.5417
    progress: ~3300 Phase-II iters, 747s elapsed obj=-1383.9504
    progress: ~3350 Phase-II iters, 757s elapsed obj=-1426.4290
    progress: ~3400 Phase-II iters, 767s elapsed obj=-1447.3202
    progress: ~3450 Phase-II iters, 776s elapsed obj=-1482.5743
    progress: ~3500 Phase-II iters, 786s elapsed obj=-1483.9697
    progress: ~3550 Phase-II iters, 796s elapsed obj=-1492.9623
    progress: ~3600 Phase-II iters, 805s elapsed obj=-1500.8670
    progress: ~3650 Phase-II iters, 814s elapsed obj=-1502.4827
    progress: ~3700 Phase-II iters, 823s elapsed obj=-1505.7182
    progress: ~3750 Phase-II iters, 832s elapsed obj=-1532.1173
    progress: ~3800 Phase-II iters, 841s elapsed obj=-1541.7537
    progress: ~3850 Phase-II iters, 850s elapsed obj=-1559.6183
    progress: ~3900 Phase-II iters, 859s elapsed obj=-1567.3634
    progress: ~3950 Phase-II iters, 868s elapsed obj=-1570.4809
    progress: ~4000 Phase-II iters, 877s elapsed obj=-1576.8064
    progress: ~4050 Phase-II iters, 886s elapsed obj=-1582.4813
    progress: ~4100 Phase-II iters, 895s elapsed obj=-1587.6682
    progress: ~4150 Phase-II iters, 904s elapsed obj=-1590.7863
    progress: ~4200 Phase-II iters, 913s elapsed obj=-1593.2902
    progress: ~4250 Phase-II iters, 922s elapsed obj=-1594.7785
    progress: ~4300 Phase-II iters, 931s elapsed obj=-1596.4455
    progress: ~4350 Phase-II iters, 940s elapsed obj=-1597.2524
    progress: ~4400 Phase-II iters, 949s elapsed obj=-1598.3889
    progress: ~4450 Phase-II iters, 958s elapsed obj=-1599.4330
    progress: ~4500 Phase-II iters, 968s elapsed obj=-1600.0710
    progress: ~4550 Phase-II iters, 978s elapsed obj=-1613.7305
    progress: ~4600 Phase-II iters, 987s elapsed obj=-1621.7790
    progress: ~4650 Phase-II iters, 996s elapsed obj=-1626.2948
    progress: ~4700 Phase-II iters, 1005s elapsed obj=-1654.2680
    progress: ~4750 Phase-II iters, 1014s elapsed obj=-1656.5325
    progress: ~4800 Phase-II iters, 1023s elapsed obj=-1822.1509
    progress: ~4850 Phase-II iters, 1032s elapsed obj=-1848.9980
    progress: ~4900 Phase-II iters, 1041s elapsed obj=-1860.7662
    progress: ~4950 Phase-II iters, 1050s elapsed obj=-1873.2600
    progress: ~5000 Phase-II iters, 1059s elapsed obj=-1889.8674
    progress: ~5050 Phase-II iters, 1068s elapsed obj=-1899.9797
    progress: ~5100 Phase-II iters, 1077s elapsed obj=-1908.2891
    progress: ~5150 Phase-II iters, 1086s elapsed obj=-1921.8659
    progress: ~5200 Phase-II iters, 1095s elapsed obj=-1927.9816
    progress: ~5250 Phase-II iters, 1105s elapsed obj=-1939.0698
    progress: ~5300 Phase-II iters, 1114s elapsed obj=-1940.3788
    progress: ~5350 Phase-II iters, 1124s elapsed obj=-1943.7152
    progress: ~5400 Phase-II iters, 1133s elapsed obj=-1945.5790
    progress: ~5450 Phase-II iters, 1142s elapsed obj=-1972.7100
    progress: ~5500 Phase-II iters, 1151s elapsed obj=-1985.3399
    progress: ~5550 Phase-II iters, 1160s elapsed obj=-2015.5576
    progress: ~5600 Phase-II iters, 1169s elapsed obj=-2079.6200
    progress: ~5650 Phase-II iters, 1178s elapsed obj=-2084.0120
    progress: ~5700 Phase-II iters, 1187s elapsed obj=-2089.3929
    progress: ~5750 Phase-II iters, 1196s elapsed obj=-2095.1697
    progress: ~5800 Phase-II iters, 1205s elapsed obj=-2100.0231
    progress: ~5850 Phase-II iters, 1214s elapsed obj=-2102.8131
    progress: ~5900 Phase-II iters, 1223s elapsed obj=-2105.5628
    progress: ~5950 Phase-II iters, 1232s elapsed obj=-2110.1206
    progress: ~6000 Phase-II iters, 1241s elapsed obj=-2111.4464
    progress: ~6050 Phase-II iters, 1250s elapsed obj=-2113.3305
    progress: ~6100 Phase-II iters, 1259s elapsed obj=-2114.6049
    progress: ~6150 Phase-II iters, 1268s elapsed obj=-2116.7524
    progress: ~6200 Phase-II iters, 1277s elapsed obj=-2118.1535
    progress: ~6250 Phase-II iters, 1286s elapsed obj=-2123.9817
    progress: ~6300 Phase-II iters, 1295s elapsed obj=-2126.6269
    progress: ~6350 Phase-II iters, 1304s elapsed obj=-2132.4079
    progress: ~6400 Phase-II iters, 1313s elapsed obj=-2135.5729
    progress: ~6450 Phase-II iters, 1322s elapsed obj=-2137.1774
    progress: ~6500 Phase-II iters, 1331s elapsed obj=-2161.8575
    progress: ~6550 Phase-II iters, 1340s elapsed obj=-2177.4771
    progress: ~6600 Phase-II iters, 1349s elapsed obj=-2203.6471
    progress: ~6650 Phase-II iters, 1358s elapsed obj=-2210.7038
    progress: ~6700 Phase-II iters, 1367s elapsed obj=-2235.8451
    progress: ~6750 Phase-II iters, 1376s elapsed obj=-2238.7120
    progress: ~6800 Phase-II iters, 1386s elapsed obj=-2249.0786
    progress: ~6850 Phase-II iters, 1395s elapsed obj=-2278.2494
    progress: ~6900 Phase-II iters, 1404s elapsed obj=-2278.6043
[run2] round 2: Phase II stopped at pivot 6928 (current basis is not primal feasible); last_obj=-2355.987693 failed-basis min_xB=-3.103e-04 cond2=1.165e+06
[run2] round 2: vertex cleanup swaps=0 cond2=1.165e+06 min_xB(gesv)=-3.103e-04
[run2] round 2: re-repair pivots=1 feas=True min_xB=0.000e+00
    progress: ~50 Phase-II iters, 1420s elapsed obj=-2374.9917
    progress: ~100 Phase-II iters, 1429s elapsed obj=-2401.6539
